record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours
SOL0001,2026-03-27 03:39,Farm_D,150,128.04,22.0,9.5
SOL0002,2026-04-25 07:13,Farm_B,100,50.47,32.3,5.0
SOL0003,2026-06-03 16:42,Farm_A,120,52.05,30.4,4.3
SOL0004,2026-03-20 21:39,Farm_B,120,54.61,29.4,4.5
SOL0005,2026-07-20 15:54,Farm_D,100,79.42,29.8,8.3
SOL0006,2026-07-03 11:39,Farm_C,150,121.73,32.3,8.6
SOL0007,2026-07-18 07:35,Farm_A,150,92.51,30.7,6.0
SOL0008,2026-03-12 07:39,Farm_A,180,119.0,33.1,7.7
SOL0009,2026-01-27 00:44,Farm_B,100,84.49,35.6,8.5
SOL0010,2026-03-10 14:07,Farm_D,180,149.22,29.4,7.9
SOL0011,2026-07-01 03:51,Farm_C,100,34.97,29.1,3.9
SOL0012,2026-02-12 13:48,Farm_A,150,133.06,33.5,9.1
SOL0013,2026-02-23 22:38,Farm_D,150,132.4,32.5,9.2
SOL0014,2026-04-30 20:13,Farm_D,120,56.0,32.4,4.9
SOL0015,2026-06-06 13:30,Farm_B,100,40.8,32.5,4.1
SOL0016,2026-06-21 00:14,Farm_A,100,42.5,35.3,4.6
SOL0017,2026-06-18 06:01,Farm_C,100,87.09,29.9,9.0
SOL0018,2026-02-28 05:26,Farm_C,100,29.9,25.6,3.4
SOL0019,2026-07-25 00:58,Farm_A,150,121.53,34.6,7.9
SOL0020,2026-03-26 07:29,Farm_B,120,88.25,22.4,7.7
SOL0021,2026-03-18 16:46,Farm_D,180,53.04,24.6,3.1
SOL0022,2026-05-16 01:37,Farm_D,120,119.58,26.6,9.3
SOL0023,2026-06-09 03:43,Farm_D,180,96.46,19.1,5.4
SOL0024,2026-07-08 07:07,Farm_D,180,50.75,30.6,3.2
SOL0025,2026-05-02 14:53,Farm_B,180,66.34,32.5,3.6
SOL0026,2026-02-27 22:58,Farm_C,100,35.89,34.5,3.6
SOL0027,2026-02-21 12:38,Farm_D,150,46.88,28.9,3.4
SOL0028,2026-01-09 20:01,Farm_A,150,150,29.2,9.9
