record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours,Hour,Generation_Efficiency,Time_of_Day
SOL0001,2026-03-27 03:39:00,Farm_D,150,128.04,22.0,9.5,3,13.477894736842105,Morning
SOL0002,2026-04-25 07:13:00,Farm_B,100,50.47,32.3,5.0,7,10.094,Morning
SOL0003,2026-06-03 16:42:00,Farm_A,120,52.05,30.4,4.3,16,12.104651162790697,Afternoon
SOL0004,2026-03-20 21:39:00,Farm_B,120,54.61,29.4,4.5,21,12.135555555555555,Evening
SOL0005,2026-07-20 15:54:00,Farm_D,100,79.42,29.8,8.3,15,9.56867469879518,Afternoon
SOL0006,2026-07-03 11:39:00,Farm_C,150,121.73,32.3,8.6,11,14.1546511627907,Morning
SOL0007,2026-07-18 07:35:00,Farm_A,150,92.51,30.7,6.0,7,15.418333333333335,Morning
SOL0008,2026-03-12 07:39:00,Farm_A,180,119.0,33.1,7.7,7,15.454545454545455,Morning
SOL0009,2026-01-27 00:44:00,Farm_B,100,84.49,35.6,8.5,0,9.94,Morning
SOL0010,2026-03-10 14:07:00,Farm_D,180,149.22,29.4,7.9,14,18.88860759493671,Afternoon
SOL0011,2026-07-01 03:51:00,Farm_C,100,34.97,29.1,3.9,3,8.966666666666667,Morning
SOL0012,2026-02-12 13:48:00,Farm_A,150,133.06,33.5,9.1,13,14.621978021978023,Afternoon
SOL0013,2026-02-23 22:38:00,Farm_D,150,132.4,32.5,9.2,22,14.391304347826088,Evening
SOL0014,2026-04-30 20:13:00,Farm_D,120,56.0,32.4,4.9,20,11.428571428571427,Evening
SOL0015,2026-06-06 13:30:00,Farm_B,100,40.8,32.5,4.1,13,9.951219512195122,Afternoon
SOL0016,2026-06-21 00:14:00,Farm_A,100,42.5,35.3,4.6,0,9.23913043478261,Morning
SOL0017,2026-06-18 06:01:00,Farm_C,100,87.09,29.9,9.0,6,9.676666666666668,Morning
SOL0018,2026-02-28 05:26:00,Farm_C,100,29.9,25.6,3.4,5,8.794117647058822,Morning
SOL0019,2026-07-25 00:58:00,Farm_A,150,121.53,34.6,7.9,0,15.383544303797468,Morning
SOL0020,2026-03-26 07:29:00,Farm_B,120,88.25,22.4,7.7,7,11.46103896103896,Morning
SOL0021,2026-03-18 16:46:00,Farm_D,180,53.04,24.6,3.1,16,17.10967741935484,Afternoon
SOL0022,2026-05-16 01:37:00,Farm_D,120,119.58,26.6,9.3,1,12.858064516129032,Morning
SOL0023,2026-06-09 03:43:00,Farm_D,180,96.46,19.1,5.4,3,17.86296296296296,Morning
SOL0024,2026-07-08 07:07:00,Farm_D,180,50.75,30.6,3.2,7,15.859375,Morning
SOL0025,2026-05-02 14:53:00,Farm_B,180,66.34,32.5,3.6,14,18.427777777777777,Afternoon
SOL0026,2026-02-27 22:58:00,Farm_C,100,35.89,34.5,3.6,22,9.969444444444445,Evening
SOL0027,2026-02-21 12:38:00,Farm_D,150,46.88,28.9,3.4,12,13.788235294117648,Afternoon
SOL0028,2026-01-09 20:01:00,Farm_A,150,150.0,29.2,9.9,20,15.15151515151515,Evening
SOL0029,2026-04-03 02:04:00,Farm_C,100,37.89,32.8,3.8,2,9.971052631578948,Morning
SOL0030,2026-03-07 17:21:00,Farm_D,180,176.53,29.4,9.2,17,19.18804347826087,Evening
SOL0031,2026-04-24 16:47:00,Farm_D,120,71.98,31.3,6.6,16,10.906060606060608,Afternoon
SOL0032,2026-04-12 23:56:00,Farm_A,120,70.57,31.2,6.6,23,10.692424242424241,Evening
SOL0033,2026-01-07 02:32:00,Farm_C,150,80.17,31.8,5.7,2,14.064912280701755,Morning
SOL0034,2026-03-02 11:31:00,Farm_D,100,29.63,35.4,3.1,11,9.558064516129031,Morning
SOL0035,2026-06-08 06:01:00,Farm_C,100,50.07,29.3,5.7,6,8.784210526315789,Morning
SOL0036,2026-07-08 03:27:00,Farm_D,120,54.6,34.3,5.2,3,10.5,Morning
SOL0037,2026-06-14 22:09:00,Farm_B,100,37.82,26.7,4.3,22,8.795348837209303,Evening
SOL0038,2026-03-13 07:33:00,Farm_A,150,91.18,32.2,6.2,7,14.706451612903226,Morning
SOL0039,2026-04-09 03:19:00,Farm_A,180,162.37,33.9,9.7,3,16.73917525773196,Morning
SOL0040,2026-04-24 08:38:00,Farm_B,180,122.58,38.8,7.1,8,17.26478873239437,Morning
SOL0041,2026-05-21 06:45:00,Farm_A,100,39.91,37.2,4.4,6,9.070454545454544,Morning
SOL0042,2026-05-01 15:29:00,Farm_C,150,135.11,31.4,8.9,15,15.180898876404495,Afternoon
SOL0043,2026-05-05 10:10:00,Farm_B,120,118.75,27.1,9.5,10,12.5,Morning
SOL0045,2026-03-22 23:53:00,Farm_A,120,106.52,33.2,9.0,23,11.835555555555555,Evening
SOL0046,2026-05-25 21:20:00,Farm_D,180,78.31,30.7,5.0,21,15.662,Evening
SOL0047,2026-07-30 19:26:00,Farm_C,180,131.27,34.7,8.7,19,15.088505747126439,Evening
SOL0048,2026-07-04 03:38:00,Farm_C,120,43.53,27.4,3.7,3,11.764864864864865,Morning
SOL0049,2026-02-03 12:44:00,Farm_B,180,92.06,33.8,5.9,12,15.603389830508474,Afternoon
SOL0050,2026-02-28 21:10:00,Farm_D,180,89.14,30.0,5.6,21,15.917857142857144,Evening
SOL0051,2026-03-25 00:41:00,Farm_D,120,59.06,23.2,5.1,0,11.580392156862747,Morning
SOL0052,2026-04-09 22:28:00,Farm_A,100,36.05,36.6,4.3,22,8.383720930232558,Evening
SOL0053,2026-05-01 13:24:00,Farm_A,150,124.37,37.6,8.5,13,14.631764705882354,Afternoon
SOL0054,2026-07-22 00:55:00,Farm_A,100,73.94,32.4,7.4,0,9.99189189189189,Morning
SOL0055,2026-03-15 05:14:00,Farm_C,100,74.27,35.6,8.7,5,8.536781609195403,Morning
SOL0056,2026-07-30 22:32:00,Farm_A,100,77.67,31.7,7.4,22,10.495945945945946,Evening
SOL0057,2026-07-02 02:28:00,Farm_A,100,60.71,33.1,6.4,2,9.4859375,Morning
SOL0058,2026-03-20 08:52:00,Farm_D,180,105.2,27.5,5.8,8,18.137931034482758,Morning
SOL0059,2026-03-21 22:56:00,Farm_A,100,84.79,27.2,9.3,22,9.117204301075269,Evening
SOL0060,2026-04-08 21:48:00,Farm_C,100,38.33,27.2,3.6,21,10.647222222222222,Evening
SOL0061,2026-04-06 11:49:00,Farm_D,150,88.08,34.0,6.5,11,13.55076923076923,Morning
SOL0062,2026-02-20 16:58:00,Farm_D,180,142.24,25.2,8.9,16,15.982022471910113,Afternoon
SOL0063,2026-06-28 05:15:00,Farm_B,100,78.89,33.4,8.6,5,9.173255813953489,Morning
SOL0064,2026-01-19 15:24:00,Farm_D,120,43.05,26.5,3.7,15,11.635135135135133,Afternoon
SOL0065,2026-02-23 19:13:00,Farm_C,180,154.47,30.3,8.3,19,18.610843373493974,Evening
SOL0066,2026-07-11 14:07:00,Farm_D,120,36.08,25.9,3.3,14,10.933333333333334,Afternoon
SOL0067,2026-01-08 15:23:00,Farm_B,100,70.35,16.6,8.1,15,8.685185185185185,Afternoon
SOL0068,2026-02-17 22:17:00,Farm_D,180,165.95,22.9,9.8,22,16.933673469387752,Evening
SOL0069,2026-01-07 09:32:00,Farm_C,120,73.34,36.5,7.2,9,10.186111111111112,Morning
