record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours,Generation_Efficiency,Hour,Date,Time_of_Day
SOL0001,2026-03-27 03:39:00,Farm_D,150,128.04,22.0,9.5,13.477894736842105,3,2026-03-27,Morning
SOL0002,2026-04-25 07:13:00,Farm_B,100,50.47,32.3,5.0,10.094,7,2026-04-25,Morning
SOL0003,2026-06-03 16:42:00,Farm_A,120,52.05,30.4,4.3,12.104651162790697,16,2026-06-03,Afternoon
SOL0004,2026-03-20 21:39:00,Farm_B,120,54.61,29.4,4.5,12.135555555555555,21,2026-03-20,Evening
SOL0005,2026-07-20 15:54:00,Farm_D,100,79.42,29.8,8.3,9.56867469879518,15,2026-07-20,Afternoon
SOL0006,2026-07-03 11:39:00,Farm_C,150,121.73,32.3,8.6,14.1546511627907,11,2026-07-03,Morning
SOL0007,2026-07-18 07:35:00,Farm_A,150,92.51,30.7,6.0,15.418333333333335,7,2026-07-18,Morning
SOL0008,2026-03-12 07:39:00,Farm_A,180,119.0,33.1,7.7,15.454545454545455,7,2026-03-12,Morning
SOL0009,2026-01-27 00:44:00,Farm_B,100,84.49,35.6,8.5,9.94,0,2026-01-27,Morning
SOL0010,2026-03-10 14:07:00,Farm_D,180,149.22,29.4,7.9,18.88860759493671,14,2026-03-10,Afternoon
SOL0011,2026-07-01 03:51:00,Farm_C,100,34.97,29.1,3.9,8.966666666666667,3,2026-07-01,Morning
SOL0012,2026-02-12 13:48:00,Farm_A,150,133.06,33.5,9.1,14.621978021978023,13,2026-02-12,Afternoon
SOL0013,2026-02-23 22:38:00,Farm_D,150,132.4,32.5,9.2,14.391304347826088,22,2026-02-23,Evening
SOL0014,2026-04-30 20:13:00,Farm_D,120,56.0,32.4,4.9,11.428571428571427,20,2026-04-30,Evening
SOL0015,2026-06-06 13:30:00,Farm_B,100,40.8,32.5,4.1,9.951219512195122,13,2026-06-06,Afternoon
SOL0016,2026-06-21 00:14:00,Farm_A,100,42.5,35.3,4.6,9.23913043478261,0,2026-06-21,Morning
SOL0017,2026-06-18 06:01:00,Farm_C,100,87.09,29.9,9.0,9.676666666666668,6,2026-06-18,Morning
SOL0018,2026-02-28 05:26:00,Farm_C,100,29.9,25.6,3.4,8.794117647058822,5,2026-02-28,Morning
SOL0019,2026-07-25 00:58:00,Farm_A,150,121.53,34.6,7.9,15.383544303797468,0,2026-07-25,Morning
SOL0020,2026-03-26 07:29:00,Farm_B,120,88.25,22.4,7.7,11.46103896103896,7,2026-03-26,Morning
SOL0021,2026-03-18 16:46:00,Farm_D,180,53.04,24.6,3.1,17.10967741935484,16,2026-03-18,Afternoon
SOL0022,2026-05-16 01:37:00,Farm_D,120,119.58,26.6,9.3,12.858064516129032,1,2026-05-16,Morning
SOL0023,2026-06-09 03:43:00,Farm_D,180,96.46,19.1,5.4,17.86296296296296,3,2026-06-09,Morning
SOL0024,2026-07-08 07:07:00,Farm_D,180,50.75,30.6,3.2,15.859375,7,2026-07-08,Morning
SOL0025,2026-05-02 14:53:00,Farm_B,180,66.34,32.5,3.6,18.427777777777777,14,2026-05-02,Afternoon
SOL0026,2026-02-27 22:58:00,Farm_C,100,35.89,34.5,3.6,9.969444444444445,22,2026-02-27,Evening
SOL0027,2026-02-21 12:38:00,Farm_D,150,46.88,28.9,3.4,13.788235294117648,12,2026-02-21,Afternoon
SOL0028,2026-01-09 20:01:00,Farm_A,150,150.0,29.2,9.9,15.15151515151515,20,2026-01-09,Evening
SOL0029,2026-04-03 02:04:00,Farm_C,100,37.89,32.8,3.8,9.971052631578948,2,2026-04-03,Morning
SOL0030,2026-03-07 17:21:00,Farm_D,180,176.53,29.4,9.2,19.18804347826087,17,2026-03-07,Evening
SOL0031,2026-04-24 16:47:00,Farm_D,120,71.98,31.3,6.6,10.906060606060608,16,2026-04-24,Afternoon
SOL0032,2026-04-12 23:56:00,Farm_A,120,70.57,31.2,6.6,10.692424242424241,23,2026-04-12,Evening
SOL0033,2026-01-07 02:32:00,Farm_C,150,80.17,31.8,5.7,14.064912280701755,2,2026-01-07,Morning
